player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
1016800%,G Coetzee,Right hand Bat,Right arm Fast,NULL,Gerald Coetzee,Gerald Coetzee,https://www.espncricinfo.com/cricketers/gerald-coetzee-596010
5600%,G Gambhir,Left hand Bat,Legbreak, ,Gautam Gambhir,Gautam Gambhir,https://documents.iplt20.com/playerheadshot/ipl/284/84.png
1231400%,Gagandeep Singh,Right hand Bat,Right arm Medium fast, ,Gagandeep Singh,Gagandeep Singh,
3452200%,GB Hogg,Left hand Bat,Left arm Wrist spin, ,George Bradley Hogg,George Bradley,
1210700%,GC Smith,Left hand Bat,Right arm Offbreak, ,Graeme Craig Smith,Graeme Craig,
282400%,GC Viljoen,Right hand Bat,Right arm Fast, ,GC Viljoen,GC Viljoen,
1198400%,GD McGrath,Right hand Bat,Right arm Fast medium, ,Glenn Donald McGrath,Glenn Donald,
603300%,GD Phillips,Right hand Bat,Right arm Offbreak,Wicketkeeper,Glenn Dominic Phillips,Glenn Dominic,
291000%,GH Vihari,Right hand Bat,Right arm Offbreak, ,Gade Hanuma Vihari,Gade Hanuma,
604700%,GHS Garton,Left hand Bat,Left arm Fast, ,George Henry Simmons Garton,George Henry,
1388200%,GJ Bailey,Right hand Bat,Right arm Medium, ,George John Bailey,George John,
7100%,GJ Maxwell,Right hand Bat,Right arm Offbreak, ,Glenn James Maxwell,Glenn James,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Glenn%20Maxwell.png
1365100%,GR Napier,Right hand Bat,Right arm Medium, ,Graham Richard Napier,Graham Richard,
3966100%,GS Sandhu,Left hand Bat,Right arm Fast medium, ,Gurinder Singh Sandhu,Gurinder Singh,
1137600%,Gulbadin Naib,Right hand Bat,Right arm Medium fast,NULL,Gulbadin Naib,Gulbadin Naib,
54600%,Gurkeerat Singh,Right hand Bat,Right arm Offbreak, ,Gurkeerat Rupinder Singh,Gurkeerat Rupinder,
918100%,Gurnoor Brar,Left hand Bat,Right arm Fast, ,Gurnoor Brar,Gurnoor Brar,
1285000%,H Das,Right hand Bat, ,Wicketkeeper,Halhadar Das,Halhadar Das,
174000%,H Klaasen,Right hand Bat,Right arm Offbreak,Wicketkeeper,Heinrich Klaasen,Heinrich Klaasen,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757
993100%,H Sharma,Right hand Bat,Legbreak, ,Himanshu Sharma,Himanshu Sharma,
22800%,Harbhajan Singh,Right hand Bat,Right arm Offbreak, ,Harbhajan Singh,Harbhajan Singh,
1326700%,Harmeet Singh,Right hand Bat,Right arm Medium, ,Harmeet Singh Bansal,Harmeet Singh,
349500%,Harpreet Brar,Left hand Bat,Slow Left arm Orthodox, ,Harpreet Brar,Harpreet Brar,https://www.espncricinfo.com/cricketers/harpreet-brar-1168641
877600%,Harpreet Singh,Left hand Bat,Right arm Medium, ,Harpreet Singh Bhatia,Harpreet Singh,
4364900%,Harsh Dubey,Left hand Bat,Slow Left arm Orthodox,NULL,Harsh Surendra Dubey,Harsh Surendra,
754600%,Harshit Rana,Right hand Bat,Right arm Fast, ,Harshit Pradeep Rana,Harshit Pradeep,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshit%20Rana.png
837200%,HC Brook,Right hand Bat,Right arm Medium, ,Harry Cherrington Brook,Harry Cherrington,
707700%,HE van der Dussen,Right hand Bat,Legbreak, ,Hendrik Erasmus van der Dussen,Hendrik Erasmus,
315600%,HF Gurney,Right hand Bat,Left arm Fast medium, ,Harry Frederick Gurney,Harry Frederick,
